key,en,zh
TUTORIAL_GATE_BUTTON,End Tutorial,结束教程
TUTORIAL_GATE_TOOLTIP,You're ready to proceed.,你已经准备好了。
SKIP_TUTORIAL,Skip Tutorial,跳过教程
SKIP_TUTORIAL_CONFIRM,Are you sure to skip tutorial?,确定要跳过教程吗？
TUTORIAL_1,Welcome to the City of Stayvesant to prepare for the upcoming adventure.,欢迎来到斗鎏城，为即将到来的冒险做准备。
TUTORIAL_MOVE_1,Click on your character to start moving.,点一下角色就能开始移动。
TUTORIAL_MOVE_2,"Move your mouse along tiles to plan a path, \nthen click the destination to confirm.",移动鼠标沿格子规划路径，点一下终点就能确认。
TUTORIAL_MOVE_3,Each move takes 3 hour. Keep that in mind.,移动一次会消耗 3 小时，要留意哦。
add_grid(),,
TUTORIAL_LOTTERY_1,Try stepping on that strange tile over there.,试着走到那个奇怪的格子上吧。
TUTORIAL_LOTTERY_2,You got 1 Apple!\nNot sure what it's for yet...,获得了 1 个苹果。\n虽然不知道能用来做什么...
,,
,,
,,
,,
TUTORIAL_NPC_1,Someone seems to need help.\nGo pay them a visit.,似乎有人需要帮助。\n拜访看看吧。
TUTORIAL_NPC_2,"""I need 1 Apple and 1 Grapes, please!""",“我想要 1 个苹果和 1 串葡萄，拜托了！”
TUTORIAL_NPC_3,Just 1 Grapes left to complete the request.,还差 1 串葡萄，就能完成委托。
,,
TUTORIAL_NPC_4,That tile ahead might have some.\nGive it a try.,前面的格子或许可以抽到。\n试试看吧。
,,
TUTORIAL_NPC_5,Got the fruit you needed!\nNow head back to deliver it.,抽到了需要的水果。\n现在回去交给ta吧。
TUTORIAL_NPC_6,"""Thanks for the fruit! Here's 2 Exchange Coupons you can use at the shop.""",“感谢你的水果！送你 2 张交换券，可以在商店买冒险物资用哦。”
TUTORIAL_NPC_7,"By the way, unlike accepting requests,\nyou can deliver fruit just by passing by. No need to stop!",另外，不同于接受水果委托，\n提交水果不用停留，路过时就会自动交付。
,,
,,
,,
TUTORIAL_NPC_8,Another request? Go check it out.,另一位似乎也有请求？拜访看看吧。
TUTORIAL_NPC_9,"""Could you deliver a message to the Giraffe for me? Please!""","""可以麻烦帮我捎个口信给长颈鹿吗？拜托了！”"
TUTORIAL_NPC_10,"""Thanks for the message! Here's 1 Exchange Coupon. Check out the shop nearby when you can.""",“感谢稍信！给你 1 张交换券，有空的话去附近的商店看看吧。”
TUTORIAL_NPC_11,"Besides fruit requests, you'll sometimes get message delivery requests.",除了水果，有时也会接到传信的委托。
TUTORIAL_NPC_12,Message deliveries complete automatically when you pass by too.\nUse this to save time!,传信任务路过目标也能自动完成。\n好好利用可以节省时间哦。
,,
TUTORIAL_SHOP_1,The shop is open! You can buy things with Exchange Coupons.\nTake a look.,商店开张了，可以用交换券买东西。\n进去看看吧。
TUTORIAL_SHOP_2,Things are a bit pricey right now.\nHow about trying a Mystery Box?,现在商品有点贵。\n不如先买个盲盒碰碰运气？
TUTORIAL_SHOP_3,You got 2 Fruits of your choice!\nClick the glowing fruit icons to pick the ones you want.,获得了 2 个自选水果。\n点击亮着的水果图标，挑选想要的吧。
,,
,,
TUTORIAL_UPGRADE_1,The Upgrade Tiles let you unlock abilities with Upgrade Coupons.,在升级格可以用升级券解锁各种能力。
TUTORIAL_UPGRADE_2,"You don't have any Upgrade Coupons yet.\nComplete some requests first, then buy one at the shop.",现在还没有升级券呢。\n先努力完成委托，在商店里买 1 张吧。
TUTORIAL_UPGRADE_3,You got 1 Trade Upgrade Coupon!\nVisit the Shop Upgrade Grid.,获得了 1 张商店升级券。\n去商店升级格看看吧。
TUTORIAL_UPGRADE_4,"There are two upgrades available here.\nGet ""Shop Manual Refresh"" first.",目前这里有两种升级可选。\n先买“解锁商店刷新”吧。
TUTORIAL_UPGRADE_5,Upgrade Tiles usually sell both Basic Upgrades and Special Upgrades.,升级格通常会同时卖 基础升级 和 特殊升级。
TUTORIAL_UPGRADE_6,"Basic Upgrades can be bought multiple times, improving with each level.\nCheck the tooltip for current level and effects.",基础升级可以反复购买，等级和效果随之提升。\n可以在描述中查看当前等级和效果。
TUTORIAL_UPGRADE_7,"You just got ""Shop Manual Refresh"", so now you can manually refresh the shop.",刚刚买到的是 “解锁商店刷新”，现在可以手动刷新商店。
TUTORIAL_UPGRADE_8,"Except for the unlimited Mystery Boxes, other items go out of stock after purchase.",除了无限供应的盲盒，其他商品买完都会暂时缺货。
